Player,RushYds,Att,TD
Lamar Jackson,695,147,5
Josh Allen,631,89,8
Deshaun Watson,551,99,5
Cam Newton,488,101,4
Mitch Trubisky,421,68,3
Russell Wilson,376,67,0
Blake Bortles,365,58,1
Marcus Mariota,357,64,2
Dak Prescott,305,75,6
Jameis Winston,281,49,1
Patrick Mahomes,272,60,2
Aaron Rodgers,269,43,2
Alex Smith,168,41,1
Ryan Fitzpatrick,152,36,2
Andrew Luck,148,46,0
Ryan Tannehill,145,32,0
Josh Rosen,138,23,0
Sam Darnold,138,44,1
Baker Mayfield,131,39,0
Jeff Driskel,130,25,2
Tyrod Taylor,125,16,1
Matt Ryan,125,33,3
Kirk Cousins,123,44,1
Jared Goff,108,43,2
Andy Dalton,99,16,0
Ben Roethlisberger,98,31,3
Carson Wentz,93,34,0
Case Keenum,93,26,2
Matthew Stafford,71,25,0
